"Event Name";"Currency";"Date";"Actual";"Forecast";"Previous"
"Core CPI (YoY)";"USD";"09:30";"2022-02-10";"6.0%";"5.9%";"5.5%"
"CPI (MoM)";"USD";"09:30";"2022-02-10";"0.6%";"0.5%";"0.6%"
"CPI (YoY)";"USD";"09:30";"2022-02-10";"7.5%";"7.3%";"7.0%"
"Initial Jobless Claims";"USD";"09:30";"2022-02-10";"223K";"230K";"239K"
"CPI (MoM)";"USD";"12:00";"2022-02-10";"0.6%";"";"0.4%"
"Core PPI (MoM)";"USD";"09:30";"2022-02-15";"0.8%";"0.5%";"0.6%"
"Core PPI (YoY)";"USD";"09:30";"2022-02-15";"8.3%";"7.9%";"8.5%"
"PPI (YoY)";"USD";"09:30";"2022-02-15";"9.7%";"9.1%";"9.8%"
"PPI (MoM)";"USD";"09:30";"2022-02-15";"1.0%";"0.5%";"0.4%"
"Retail Sales (MoM)";"USD";"09:30";"2022-02-16";"3.3%";"0.8%";"-2.8%"
"Retail Sales (YoY)";"USD";"09:30";"2022-02-16";"12.96%";"";"16.71%"
"Retail Sales (MoM)";"USD";"09:30";"2022-02-16";"3.8%";"2.0%";"-2.5%"
"Imports";"USD";"11:30";"2022-02-16";"0.230M";"";"-1.420M"
"Initial Jobless Claims";"USD";"09:30";"2022-02-17";"248K";"219K";"225K"
"Existing Home Sales (MoM)";"USD";"11:00";"2022-02-18";"6.7%";"-1.0%";"-3.8%"
"Existing Home Sales";"USD";"11:00";"2022-02-18";"6.50M";"6.10M";"6.09M"
"Manufacturing PMI";"EUR";"05:00";"2022-02-21";"58.4";"58.7";"58.7"
"Manufacturing PMI";"EUR";"05:00";"2022-02-21";"55.8";"52.0";"51.1"
"Manufacturing PMI";"USD";"10:45";"2022-02-22";"57.5";"56.0";"55.5"
"Manufacturing PMI";"USD";"10:45";"2022-02-22";"56.7";"53.0";"51.2"
"Core CPI (MoM)";"EUR";"06:00";"2022-02-23";"-0.9%";"-0.8%";"-0.8%"
"Core CPI (YoY)";"EUR";"06:00";"2022-02-23";"2.3%";"2.3%";"2.6%"
"CPI (YoY)";"EUR";"06:00";"2022-02-23";"5.1%";"5.1%";"5.1%"
"CPI (MoM)";"EUR";"06:00";"2022-02-23";"0.3%";"0.3%";"0.4%"
"Initial Jobless Claims";"USD";"09:30";"2022-02-24";"232K";"235K";"249K"
"Imports";"USD";"12:00";"2022-02-24";"0.623M";"";"0.230M"
"Manufacturing PMI";"EUR";"05:00";"2022-03-01";"58.2";"58.4";"58.7"
"Manufacturing PMI";"USD";"10:45";"2022-03-01";"57.3";"57.5";"55.5"
"Manufacturing PMI";"USD";"11:00";"2022-03-01";"58.6";"58.0";"57.6"
"Core CPI (YoY)";"EUR";"06:00";"2022-03-02";"2.7%";"2.5%";"2.3%"
"Core CPI (MoM)";"EUR";"06:00";"2022-03-02";"0.5%";"";"-0.9%"
"CPI (YoY)";"EUR";"06:00";"2022-03-02";"5.8%";"5.3%";"5.1%"
"CPI (MoM)";"EUR";"06:00";"2022-03-02";"0.9%";"";"0.3%"
"Imports";"USD";"11:30";"2022-03-02";"-2.171M";"";"0.623M"
